DBN,school_name,Location 1
10X434,Belmont Preparatory High School,"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
25Q281,East-West School of International Studies,"46-21 Colden Street
Flushing, NY 11355
(40.74930280500047, -73.82180810599965)"
27Q314,Epic High School – South,"121-10 Rockaway Boulevard
Queens, NY 11420
(40.675735922000456, -73.81696833599966)"
09X276,Leadership Institute,"1701 Fulton Avenue
Bronx, NY 10457
(40.8412708780005, -73.89797867699963)"
15K684,Millennium Brooklyn HS,"237 7 Avenue
Brooklyn, NY 11215
(40.66959817500049, -73.97925552199968)"
08X432,BRONX BRIDGES HIGH SCHOOL,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
02M546,Academy for Software Engineering,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
09X350,New Directions Secondary School,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
08X530,Banana Kelly High School,"965 Longwood Avenue
Bronx, NY 10459
(40.81743944600049, -73.89804920599965)"
31R450,Curtis High School,"105 Hamilton Avenue
Staten Island, NY 10301
(40.64474490100048, -74.08134127399967)"
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences","74-20 Commonwealth Blvd
Bellerose, NY 11426
(40.744904361000465, -73.72690964199967)"
02M475,Stuyvesant High School,"345 Chambers Street
New York, NY 10282
(40.71774641500048, -74.01404904299966)"
02M489,High School of Economics and Finance,"100 Trinity Place
New York, NY 10006
(40.70921962500046, -74.01202591499964)"
14K685,El Puente Academy for Peace and Justice,"250 Hooper Street
Brooklyn, NY 11211
(40.705765931000485, -73.95572857199966)"
17K590,Medgar Evers College Preparatory School,"1186 Carroll Street
Brooklyn, NY 11225
(40.66716208200046, -73.95085795499966)"
18K576,Victory Collegiate High School,"6565 Flatlands Avenue
Brooklyn, NY 11236
(40.63262743000047, -73.91779798899967)"
28Q167,Metropolitan Expeditionary Learning School,"91-30 Metropolitan Avenue
Forest Hills, NY 11375
(40.710435548000476, -73.85063015499964)"
01M509,Marta Valle High School,"145 Stanton Street
New York, NY 10002
(40.720569079000484, -73.98567269099965)"
04M435,Manhattan Center for Science and Mathematics,"260 Pleasant Avenue
New York, NY 10029
(40.793741706000446, -73.93408414199968)"
21K620,William E. Grady Career and Technical Education High School,"25 Brighton 4Th Road
Brooklyn, NY 11235
(40.58254803800048, -73.96371622099963)"
02M408,Professional Performing Arts High School,"328 West 48 Street
New York, NY 10036
(40.761432699000466, -73.98802369799967)"
17K539,High School for Service & Learning at Erasmus,"911 Flatbush Avenue
Brooklyn, NY 11226
(40.64943967500045, -73.95843119799963)"
15K429,Brooklyn School for Global Studies,"284 Baltic Street
Brooklyn, NY 11201
(40.68545180600046, -73.99349146499964)"
09X404,School for Excellence,"1110 Boston Road
Bronx, NY 10456
(40.8276026690005, -73.90447525699966)"
17K531,"School for Human Rights, The","600 Kingston Avenue
Brooklyn, NY 11203
(40.6595170060005, -73.94254649899966)"
02M529,Jacqueline Kennedy Onassis High School,"120 West 46 Street
New York, NY 10036
(40.75775738600049, -73.98318779299967)"
11X249,Bronx Health Sciences High School,"750 Baychester Avenue
Bronx, NY 10475
(40.87413179800046, -73.83380451299968)"
15K464,Park Slope Collegiate,"237 7 Avenue
Brooklyn, NY 11215
(40.66959817500049, -73.97925552199968)"
19K764,The Urban Assembly School for Collaborative Healthcare,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.69114396200047, -73.86842605699962)"
11X288,Collegiate Institute for Math and Science,"925 Astor Avenue
Bronx, NY 10469
(40.85969831600045, -73.86074140399967)"
12X521,The Metropolitan Soundview High School,"1300 Boynton Avenue
Bronx, NY 10472
(40.83136649000045, -73.87882327699964)"
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology","105 Johnson Street
Brooklyn, NY 11201
(40.69494440700049, -73.98603532399966)"
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)","455 Southern Blvd
Bronx, NY 10455
(40.810405415000446, -73.90680011599966)"
17K600,Clara Barton High School,"901 Classon Avenue
Brooklyn, NY 11225
(40.67027055700049, -73.96165482399965)"
11X514,The Bronxwood Preparatory Academy,"921 East 228Th Street
Bronx, NY 10466
(40.887919214000476, -73.85287161399964)"
19K422,Spring Creek Community School,"1065 Elton Street
Brooklyn, NY 11208
(40.65752260200048, -73.87477702499967)"
26Q430,Francis Lewis High School,"58-20 Utopia Parkway
Fresh Meadows, NY 11365
(40.74055571400049, -73.79284814599964)"
13K430,Brooklyn Technical High School,"29 Ft Greene Place
Brooklyn, NY 11217
(40.688107423000474, -73.97674507199963)"
28Q310,Queens Collegiate: A College Board School,"167-01 Gothic Drive
Jamaica, NY 11432
(40.713577459000476, -73.79651782499963)"
10X440,DeWitt Clinton High School,"100 West Mosholu Parkway South
Bronx, NY 10468
(40.88008184000046, -73.88590153299964)"
13K527,Urban Assembly Institute of Math and Science for Young Women,"283 Adams Street
Brooklyn, NY 11201
(40.69462011900049, -73.98862394499963)"
09X525,Bronx Leadership Academy High School,"1710 Webster Avenue
Bronx, NY 10457
(40.84358119500047, -73.90322003799963)"
06M293,City College Academy of the Arts,"4600 Broadway
New York, NY 10040
(40.86111331900048, -73.93045214899968)"
14K477,School for Legal Studies,"850 Grand Street
Brooklyn, NY 11211
(40.71196311300048, -73.94043436699963)"
02M533,Union Square Academy for Health Sciences,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
18K567,Brooklyn Theatre Arts High School,"6565 Flatlands Avenue
Brooklyn, NY 11236
(40.63262743000047, -73.91779798899967)"
10X437,Fordham High School for the Arts,"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
32K168,The Brooklyn School for Math and Research,"400 Irving Avenue
Brooklyn, NY 11237
(40.696961848000456, -73.91081593899963)"
19K615,Transit Tech Career and Technical Education High School,"1 Wells Street
Brooklyn, NY 11208
(40.6782307310005, -73.87597301199963)"
29Q283,Preparatory Academy for Writers: A College Board School,"143-10 Springfield Boulevard
Springfield Gardens, NY 11413
(40.66823228800047, -73.75683989399965)"
16K688,The Brooklyn Academy of Global Finance,"125 Stuyvesant Avenue
Brooklyn, NY 11221
(40.691537765000476, -73.93372578199967)"
12X682,Fannie Lou Hamer Freedom High School,"1021 Jennings Street
Bronx, NY 10460
(40.83080715400047, -73.88602131599964)"
32K549,Bushwick School for Social Justice,"400 Irving Avenue
Brooklyn, NY 11237
(40.696961848000456, -73.91081593899963)"
17K524,International High School at Prospect Heights,"883 Classon Avenue
Brooklyn, NY 11225
(40.67029890700047, -73.96164787599963)"
01M450,East Side Community School,"420 East 12 Street
New York, NY 10009
(40.729782687000466, -73.98304144099967)"
28Q505,Hillcrest High School,"160-05 Highland Avenue
Jamaica, NY 11432
(40.70875755500049, -73.80212748599968)"
07X334,International Community High School,"345 Brook Avenue
Bronx, NY 10454
(40.810036192000496, -73.91781248199965)"
20K505,Franklin Delano Roosevelt High School,"5800 20 Avenue
Brooklyn, NY 11204
(40.620263373000455, -73.98201099999966)"
02M047,47 The American Sign Language and English Secondary School,"223 East 23 Street
New York, NY 10010
(40.738599087000466, -73.98251191099968)"
08X305,Pablo Neruda Academy,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
28Q687,Queens High School for the Sciences at York College,"94-50 159 Street
Jamaica, NY 11433
(40.7009987670005, -73.79815352399964)"
17K751,Academy for Health Careers,"150 Albany Avenue
Brooklyn, NY 11213
(40.67540230700047, -73.93888117599965)"
09X263,Validus Preparatory Academy: An Expeditionary Learning School,"1595 Bathgate Avenue
Bronx, NY 10457
(40.839327126000455, -73.90130978999963)"
07X600,Alfred E. Smith Career and Technical Education High School,"333 East 151 Street
Bronx, NY 10451
(40.81824688900048, -73.91973567799965)"
18K637,Academy for Conservation and the Environment,"6565 Flatlands Avenue
Brooklyn, NY 11236
(40.63262743000047, -73.91779798899967)"
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions","120 West 231 Street
Bronx, NY 10463
(40.875975449000464, -73.90123489199965)"
12X251,Explorations Academy,"1619 Boston Road
Bronx, NY 10460
(40.835937328000455, -73.89046769299966)"
27Q308,Robert H. Goddard High School of Communication Arts and Technology,"138-30 Lafayette Street
Ozone Park, NY 11417
(40.6717694780005, -73.84497773899966)"
09X413,Bronx High School for Medical Science,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
18K563,It Takes a Village Academy,"5800 Tilden Avenue
Brooklyn, NY 11203
(40.64866366300049, -73.92189876199967)"
09X231,Eagle Academy for Young Men,"4143 Third Avenue
Bronx, NY 10457
(40.84518532700048, -73.89698066799963)"
24Q485,Grover Cleveland High School,"21-27 Himrod Street
Ridgewood, NY 11385
(40.71122219500046, -73.90865212999967)"
02M413,School of the Future High School,"127 East 22 Street
New York, NY 10010
(40.73894888600046, -73.98540517199967)"
20K445,New Utrecht High School,"1601 80 Street
Brooklyn, NY 11214
(40.61342449400047, -74.00365376599967)"
19K504,High School for Civil Rights,"400 Pennsylvania Avenue
Brooklyn, NY 11207
(40.66755311100047, -73.89480053699964)"
01M448,University Neighborhood High School,"200 Monroe Street
New York, NY 10002
(40.7123318510005, -73.98479662499966)"
28Q690,High School for Law Enforcement and Public Safety,"116-25 Guy R Brewer Boulevard
Jamaica, NY 11434
(40.68617808300047, -73.78408297499965)"
29Q326,Cambria Heights Academy,"188-04 91St Avenue
Hollis, NY 11423
(40.71181822000045, -73.77119187599965)"
03M859,Special Music School,"122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
02M376,NYC iSchool,"131 Avenue Of The Americas
New York, NY 10013
(40.72435287400049, -74.00475929199968)"
13K483,The Urban Assembly School for Law and Justice,"283 Adams Street
Brooklyn, NY 11201
(40.69462011900049, -73.98862394499963)"
19K507,Performing Arts and Technology High School,"400 Pennsylvania Avenue
Brooklyn, NY 11207
(40.66755311100047, -73.89480053699964)"
04M372,ESPERANZA PREPARATORY ACADEMY,"240 East 109 Street
New York, NY 10029
(40.793072777000475, -73.94235655799963)"
10X565,High School for Energy and Technology,"2474 Crotona Avenue
Bronx, NY 10458
(40.85592271000047, -73.88257897999966)"
02M419,Landmark High School,"351 West 18 Street
New York, NY 10011
(40.74288810100046, -74.00212738099964)"
14K561,Williamsburg Preparatory School,"257 North 6 Street
Brooklyn, NY 11211
(40.71503755100048, -73.95464995899965)"
08X282,Women's Academy of Excellence,"456 White Plains Road
Bronx, NY 10473
(40.814918340000474, -73.85656553499967)"
21K559,Life Academy High School for Film and Music,"2630 Benson Avenue
Brooklyn, NY 11214
(40.59359381100046, -73.98472923199967)"
08X269,Bronx Studio School for Writers and Artists,"928 Simpson Street
Bronx, NY 10459
(40.820623637000494, -73.89307351899964)"
25Q285,World Journalism Preparatory: A College Board School,"34-65 192 Street
Flushing, NY 11358
(40.76512327300048, -73.79005967599966)"
15K519,Cobble Hill School of American Studies,"347 Baltic Street
Brooklyn, NY 11201
(40.68457913700047, -73.99109316299968)"
24Q530,International High School at LaGuardia Community College,"45-35 Van Dam Street
Long Island City, NY 11101
(40.744149536000464, -73.93362674099967)"
29Q248,Queens Preparatory Academy,"143-10 Springfield Boulevard
Springfield Gardens, NY 11413
(40.66823228800047, -73.75683989399965)"
09X412,Bronx High School of Business,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
02M600,The High School of Fashion Industries,"225 West 24 Street
New York, NY 10011
(40.74511157100045, -73.99590641999964)"
17K528,The High School for Global Citizenship,"883 Classon Avenue
Brooklyn, NY 11225
(40.67029890700047, -73.96164787599963)"
13K605,George Westinghouse Career and Technical Education High School,"105 Johnson Street
Brooklyn, NY 11201
(40.69494440700049, -73.98603532399966)"
30Q502,Information Technology High School,"21-16 44Th Road
Long Island City, NY 11101
(40.74792352300045, -73.94656565899965)"
16K393,Frederick Douglass Academy IV Secondary School,"1014 Lafayette Avenue
Brooklyn, NY 11221
(40.69213370400047, -73.93150317199962)"
27Q650,"High School for Construction Trades, Engineering and Architecture","94-06 104Th Street
Ozone Park, NY 11416
(40.68939682600046, -73.84064100099965)"
11X418,Bronx High School for the Visual Arts,"2040 Antin Pl
Bronx, NY 10462
(40.851433485000484, -73.86501795899966)"
22K425,James Madison High School,"3787 Bedford Avenue
Brooklyn, NY 11229
(40.60975848100048, -73.94845183699965)"
16K455,Boys and Girls High School,"1700 Fulton Street
Brooklyn, NY 11213
(40.67943304500045, -73.93243176999965)"
19K409,East New York Family Academy,"2057 Linden Boulevard
Brooklyn, NY 11207
(40.66063702400049, -73.88634164999962)"
17K546,High School for Public Service: Heroes of Tomorrow,"600 Kingston Avenue
Brooklyn, NY 11203
(40.6595170060005, -73.94254649899966)"
21K344,Rachel Carson High School for Coastal Studies,"521 West Avenue
Brooklyn, NY 11224
(40.582116150000445, -73.97289449199963)"
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology","47-07 30 Place
Long Island City, NY 11101
(40.742263515000445, -73.93687612099967)"
02M300,"Urban Assembly School of Design and Construction, The","525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
27Q324,Rockaway Park High School for Environmental Sustainability,"100-00 Beach Channel Drive
Rockaway Park, NY 11694
(40.58600718700046, -73.82308944399966)"
23K514,Frederick Douglass Academy VII High School,"226 Bristol Street
Brooklyn, NY 11212
(40.665810912000495, -73.91169964499966)"
02M438,International High School at Union Square,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
20K490,Fort Hamilton High School,"8301 Shore Road
Brooklyn, NY 11209
(40.62791337300047, -74.03995233799964)"
07X495,University Heights Secondary School,"701 St. Anns Avenue
Bronx, NY 10455
(40.81817353600047, -73.91109266299964)"
29Q492,"Mathematics, Science Research and Technology Magnet High School","207- 01 116Th Avenue
Cambria Heights, NY 11411
(40.69553633600049, -73.73491834199967)"
02M135,The Urban Assembly School for Emergency Management,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,"921 East 228Th Street
Bronx, NY 10466
(40.887919214000476, -73.85287161399964)"
03M492,"High School for Law, Advocacy and Community Justice","122 Amsterdam Avenue
New York, NY 10023
(40.77429641100048, -73.98482270099964)"
02M580,Richard R. Green High School of Teaching,"26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)"
14K586,Lyons Community School,"223 Graham Avenue
Brooklyn, NY 11206
(40.709899960000484, -73.94365993499963)"
02M425,Leadership and Public Service High School,"90 Trinity Place
New York, NY 10006
(40.70914653900047, -74.01207662699966)"
31R047,CSI High School for International Studies,"100 Essex Drive
Staten Island, NY 10314
(40.58202202600046, -74.15784841899966)"
24Q550,High School for Arts and Business,"105-25 Horace Harding Expy N
Corona, NY 11368
(40.73741817000047, -73.85330572999965)"
06M346,Community Health Academy of the Heights,"504 West 158Th Street
New York, NY 10032
(40.83355521900046, -73.94180421199962)"
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,"91-30 Metropolitan Avenue
Forest Hills, NY 11375
(40.710435548000476, -73.85063015499964)"
29Q272,George Washington Carver High School for the Sciences,"143-10 Springfield Boulevard
Springfield Gardens, NY 11413
(40.66823228800047, -73.75683989399965)"
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
29Q327,Eagle Academy for Young Men III,"171-10 Linden Boulevard
Jamaica, NY 11434
(40.69167018900049, -73.77902860599966)"
02M407,Institute for Collaborative Education,"345 East 15Th Street
New York, NY 10003
(40.73248537800049, -73.98305338799963)"
32K556,Bushwick Leaders High School for Academic Excellence,"797 Bushwick Avenue
Brooklyn, NY 11221
(40.69499576300046, -73.92798626699965)"
02M439,Manhattan Village Academy,"43 West 22 Street
New York, NY 10010
(40.7414946990005, -73.99144505299967)"
24Q455,Newtown High School,"48-01 90 Street
Elmhurst, NY 11373
(40.74120520000048, -73.87472988399963)"
12X550,High School of World Cultures,"1300 Boynton Avenue
Bronx, NY 10472
(40.83136649000045, -73.87882327699964)"
19K659,Cypress Hills Collegiate Preparatory School,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.69114396200047, -73.86842605699962)"
08X561,Bronx Compass High School,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
02M260,M.S. 260 Clinton School Writers & Artists,"425 West 33Rd Street
Manhattan, NY 10001
(40.75321087800046, -73.99785851499968)"
16K765,Nelson Mandela School for Social Justice,"1700 Fulton Street
Brooklyn, NY 11213
(40.67943304500045, -73.93243176999965)"
09X297,Morris Academy for Collaborative Studies,"1110 Boston Road
Bronx, NY 10456
(40.8276026690005, -73.90447525699966)"
02M400,High School for Environmental Studies,"444 West 56 Street
New York, NY 10019
(40.76776243900048, -73.98751121399965)"
12X372,Urban Assembly School for Wildlife Conservation,"2024 Mohegan Avenue
Bronx, NY 10460
(40.84403995800045, -73.88468697299965)"
23K697,Teachers Preparatory High School,"226 Bristol Street
Brooklyn, NY 11212
(40.665810912000495, -73.91169964499966)"
09X365,Academy for Language and Technology,"1700 Macombs Road
Bronx, NY 10453
(40.84910216800046, -73.91608844099966)"
13K350,Urban Assembly High School of Music and Art,"49 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.69717472700046, -73.98495968899965)"
15K462,Secondary School for Law,"237 7 Avenue
Brooklyn, NY 11215
(40.66959817500049, -73.97925552199968)"
18K589,Arts & Media Preparatory Academy,"905 Winthrop Street
Brooklyn, NY 11203
(40.65845703000048, -73.92903317399964)"
02M519,Talent Unlimited High School,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
02M418,Millennium High School,"75 Broad Street
New York, NY 10004
(40.704920366000465, -74.01151402299968)"
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),"660 West 237 Street
Bronx, NY 10463
(40.88837284900046, -73.91409320399964)"
27Q309,Academy of Medical Technology: A College Board School,"8-21 Bay 25 Street
Far Rockaway, NY 11691
(40.601989336000486, -73.76283432299965)"
11X455,Harry S Truman High School,"750 Baychester Avenue
Bronx, NY 10475
(40.87413179800046, -73.83380451299968)"
02M630,Art and Design High School,"231-249 East 56 Street
New York, NY 10019
(40.76540154100047, -73.98176824599966)"
19K404,Academy for Young Writers,"1065 Elton Street
Brooklyn, NY 11208
(40.65752260200048, -73.87477702499967)"
10X438,Fordham Leadership Academy for Business and Technology,"500 East Fordham Road
Bronx, NY 10458
(40.86001222100049, -73.88822960399966)"
07X473,Mott Haven Village Preparatory High School,"701 St. Anns Avenue
Bronx, NY 10455
(40.81817353600047, -73.91109266299964)"
02M543,New Design High School,"350 Grand Street
New York, NY 10002
(40.71686722400045, -73.98953194299963)"
10X342,International School for Liberal Arts,"2780 Reservoir Avenue
Bronx, NY 10468
(40.87037746700048, -73.89816295199967)"
27Q334,Epic High School – North,"94-25 117th Street
South Richmond Hill, NY 11419
(40.69287706600045, -73.82930558099963)"
10X351,Bronx Collaborative High School,"100 West Mosholu Parkway South
Bronx, NY 10468
(40.88008184000046, -73.88590153299964)"
02M414,N.Y.C. Museum School,"333 West 17 Street
New York, NY 10011
(40.74210071300047, -74.00207379699964)"
11X265,Bronx Lab School,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,"411 Pearl Street
New York, NY 10038
(40.71067947100045, -74.00080702099967)"
27Q262,Channel View School for Research,"100-00 Beach Channel Drive
Rockaway Park, NY 11694
(40.58600718700046, -73.82308944399966)"
09X329,DreamYard Preparatory School,"240 East 172 Street
Bronx, NY 10457
(40.84037339800045, -73.91083800799964)"
28Q620,Thomas A. Edison Career and Technical Education High School,"165-65 84 Avenue
Jamaica, NY 11432
(40.71587626100046, -73.79882238899967)"
14K632,Frances Perkins Academy,"50 Bedford Avenue
Brooklyn, NY 11222
(40.72264264000046, -73.95258304499964)"
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
02M542,Manhattan Bridges High School,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
27Q400,August Martin High School,"156-10 Baisley Boulevard
Jamaica, NY 11434
(40.67552680900047, -73.78343251299964)"
25Q241,Queens High School for Language Studies,"35-01 Union Street
Flushing, NY 11354
(40.765243471000474, -73.82785528199963)"
27Q351,Rockaway Collegiate High School,"100-00 Beach Channel Drive
Rockaway Park, NY 11694
(40.58600718700046, -73.82308944399966)"
32K403,Academy for Environmental Leadership,"400 Irving Avenue
Brooklyn, NY 11237
(40.696961848000456, -73.91081593899963)"
31R445,Port Richmond High School,"85 St Josephs Avenue
Staten Island, NY 10302
(40.63384298700049, -74.14210688899965)"
25Q240,Veritas Academy,"35-01 Union Street
Flushing, NY 11354
(40.765243471000474, -73.82785528199963)"
23K644,Eagle Academy for Young Men II,"1137 Herkimer Street
Brooklyn, NY 11233
(40.677825501000484, -73.91582337999967)"
27Q302,"Queens High School for Information, Research, and Technology","8-21 Bay 25 Street
Far Rockaway, NY 11691
(40.601989336000486, -73.76283432299965)"
09X517,Frederick Douglass Academy III Secondary School,"3630 Third Avenue
Bronx, NY 10456
(40.83416725000046, -73.90403294799967)"
28Q325,Hillside Arts & Letters Academy,"167-01 Gothic Drive
Jamaica, NY 11432
(40.713577459000476, -73.79651782499963)"
05M499,Frederick Douglass Academy,"2581 7Th Avenue
New York, NY 10039
(40.82430838500045, -73.93697961299966)"
24Q264,Academy of Finance and Enterprise,"30-20 Thomson Avenue
Long Island City, NY 11101
(40.74509351900048, -73.93681389799963)"
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The","1440 Story Avenue
Bronx, NY 10473
(40.82117077000049, -73.88113634599966)"
02M374,Gramercy Arts High School,"40 Irving Place
New York, NY 10003
(40.73551946300046, -73.98760424899967)"
17K533,School for Democracy and Leadership,"600 Kingston Avenue
Brooklyn, NY 11203
(40.6595170060005, -73.94254649899966)"
26Q415,Benjamin N. Cardozo High School,"57-00 223Rd Street
Oakland Gardens, NY 11364
(40.75239242400045, -73.75608335799967)"
31R455,Tottenville High School,"100 Luten Avenue
Staten Island, NY 10312
(40.528228767000485, -74.19215369799963)"
25Q263,Flushing International High School,"144-80 Barclay Avenue
Flushing, NY 11355
(40.760414170000445, -73.81837627799968)"
02M449,Vanguard High School,"317 East 67 Street
New York, NY 10065
(40.765445402000466, -73.96021378599966)"
32K552,Academy of Urban Planning,"400 Irving Avenue
Brooklyn, NY 11237
(40.696961848000456, -73.91081593899963)"
06M468,High School for Health Careers and Sciences,"549 Audubon Avenue
New York, NY 10040
(40.855938307000486, -73.92702963399967)"
30Q580,Baccalaureate School for Global Education,"34-12 36 Avenue
Astoria, NY 11106
(40.75517483300047, -73.92682361399966)"
12X684,Wings Academy,"1122 East 180 Street
Bronx, NY 10460
(40.84180522100047, -73.87541771299965)"
22K405,Midwood High School,"2839 Bedford Avenue
Brooklyn, NY 11210
(40.63333549400045, -73.95291606399962)"
25Q670,Robert F. Kennedy Community High School,"75-40 Parsons Boulevard
Fresh Meadows, NY 11366
(40.72560316100049, -73.81072114699964)"
19K618,Academy of Innovative Technology,"999 Jamaica Avenue
Brooklyn, NY 11208
(40.69114396200047, -73.86842605699962)"
02M298,Pace High School,"100 Hester Street
New York, NY 10002
(40.716412393000496, -73.99267584399968)"
08X376,Antonia Pantoja Preparatory Academy: A College Board School,"1980 Lafayette Avenue
Bronx, NY 10473
(40.82230376500047, -73.85596138999966)"
02M500,Unity Center for Urban Technologies,"111 East 33Rd Street
New York, NY 10016
(40.746106375000466, -73.98100966699963)"
02M507,Urban Assembly Gateway School for Technology,"439 West 49Th Street
New York, NY 10019
(40.763361732000476, -73.99050909099964)"
27Q323,Scholars' Academy,"320 Beach 104Th Street
Rockaway Park, NY 11694
(40.58413137400049, -73.82568121199967)"
17K408,Academy of Hospitality and Tourism,"911 Flatbush Avenue
Brooklyn, NY 11226
(40.64943967500045, -73.95843119799963)"
12X278,Peace and Diversity Academy,"1180 Rev. J.A. Polite Ave.
Bronx, NY 10459
(40.82522606000049, -73.89394988899966)"
14K558,Williamsburg High School for Architecture and Design,"257 North 6 Street
Brooklyn, NY 11211
(40.71503755100048, -73.95464995899965)"
02M288,Food and Finance High School,"525 West 50Th Street
New York, NY 10019
(40.76502670800045, -73.99251657799965)"
21K468,Kingsborough Early College School,"2630 Benson Avenue
Brooklyn, NY 11214
(40.59359381100046, -73.98472923199967)"
10X225,Theatre Arts Production Company School,"2225 Webster Avenue
Bronx, NY 10457
(40.85464659900049, -73.89664555299964)"
11X508,Bronxdale High School,"925 Astor Avenue
Bronx, NY 10469
(40.85969831600045, -73.86074140399967)"
11X253,Bronx High School for Writing and Communication Arts,"800 East Gun Hill Road
Bronx, NY 10467
(40.87575421100047, -73.86138783399963)"
02M316,"Urban Assembly School of Business for Young Women, the","26 Broadway
New York, NY 10004
(40.70523493900049, -74.01331503999967)"
25Q525,Townsend Harris High School,"149-11 Melbourne Avenue
Flushing, NY 11367
(40.73440841000047, -73.82141748299966)"
